,Unnamed: 0,업데이트영상,시간,시청기록,검색기록,키워드,추천영상,url
0,0,마라탕,1시간 전,ESG 이렇게 투자합니다ㅣ유니콘하우스 최경희 ,[ASMR] Lipgloss Application Mouth Sounds Compilationㅣ립글로즈 바르며 입소리 총집합ㅣリップグロスを塗る映像集 ,미국,점핑초보 모여라! 쉬운 홈트 14분 루틴 - 다이어트운동 홈트레이닝 전신운동,https://www.youtube.com/watch?v=J2G0X921mjk
1,1,카카오 네이버 지금 사도 될까요?(칼날 잡기 투자법),1시간 전,[와이즈맨] 러시아 사람들이 🤑비리 대마왕🤑 푸틴을 못 버리는 이유는😭?    / YTN ,미국 간호사가 돈가스 처음 먹어본 인상은?! 외국놈들의 그랜드한 한국 일주 시리즈 1편!! ,사단장,"007시리즈 왕의귀환, 청춘스타와 그림자정부 석유 독점을 막아라 - 10분 명화 극장 [영화 007 네버세이네버어게인 (007 제임스본드 비공인 외전)] 영화리뷰 결말포함",https://www.youtube.com/watch?v=PnBV9NSKfCc
2,2,최주봉 아저씨와 세종의 기네스북 구경하기! ‘정부세종청사 옥상정원’편 (feat. MBC 테마기행 길),2시간 전,"턱에서 소리가 나면 반드시 봐야 합니다!! (원인, 평가, 운동, 재활) TMJ  교정의 정석 ",[ASMR] Strong MOUTH SOUNDS w/ Tapioca Pearl 호불호 최강 입소리 5탄 (feat.타피오카펄) ,다운로드,갑자일주 - 일주론 사주 강의 1,https://www.youtube.com/watch?v=jqWpPYpkdME
3,3,대통령이 된(?) 기분을 느낄 수 있는 곳! 최주봉 아저씨와 함깨한 ‘대통령기록관’편  (feat. MBC 테마기행 길),2시간 전,미국 민속촌에 가보다 【아메리카8】 ,"화면 탭핑과 3가지 잠오는소리들[한국어 ASMR]Tapping asmr,(립오일  뚜껑 열고닫기,피젯큐브)화면터치,불면증,수면유도,꿀꿀선아,suna asmr,triggers, ",돈가스,"카카오가 예전 같지 않다?(f.남양, 엔씨)",https://www.youtube.com/watch?v=8QjpxDaxrB8
4,4,요즘 조치원에서 제일 핫하다는 곳을 간 최주봉 아저씨  ‘조치원문화정원’편  (feat. MBC 테마기행 길),2시간 전,[ASMR] 긴 손톱으로 빠른 탭핑 ❤️‍🔥ㅣ소곤소곤 수다떨자 🤗 ,Korean ASMR | 치과 롤플레이 | dentist rp | 치과 asmr | dentist asmr | asmr한국어 ,시리즈,"미국 갓탤런트에 이어 월드오브댄스에서 한국여성 댄스퍼포먼스팀이 세계를 놀라게하다!라틴X힙합 퓨전댄스의 선두주자!올레디(아이키,코코)소마의리뷰리액션!",https://www.youtube.com/watch?v=ZKU15pjuTnk
5,5,민물매운탕에 푹 빠진 최주봉 아저씨 ‘고복저수지’편  (feat. MBC 테마기행 길),2시간 전,"[ASMR] 속시원한 빠른 탭핑 (feat.입소리,시각적팅글) ","""일본에서 변종 바이러스 생겼다고?"" 도쿄에서 변종 바이러스 폭발하자 외국인, 분노 폭발 // ""제발 한국처럼 하라고! 이제 어쩔래?"" [해외반응] ",삼겹살,이모티콘으로 속담 맞추기 시리즈 / #대규모시리즈액괴#액괴시리즈#시리즈액괴#대규모시리즈#대규모#시리즈#시액#액시#대시액#연쫑시리즈#이모티콘#와현님,https://www.youtube.com/watch?v=LeCRUCLy7GE
6,6,와 진짜 클라쓰가 다르네~! 국립세종수목원에 놀러간 최주봉 아저씨 ‘국립세종수목원’편  (feat. MBC 테마기행 길),2시간 전,잠이 안오시나요? 10가지 소리로 재워드립니다 / Can't you sleep? I'm Gonna Help You w/ 10 Triggers ,라스트오브어스 (멀티)  ,메이크업,😢 제발 이런 말좀 하지 마세요 🙏  엄청 상처받는 말들 시리즈액괴 시액 액시 액기시리즈 대규모시리즈액괴 대시액 대규모시리즈 추천알고리즘,https://www.youtube.com/watch?v=27HK3qX52H0
7,7,최주봉 아저씨랑 함께 한 세종여행 ‘세종호수공원 & 세종중앙공원’편  (feat. MBC 테마기행 길),2시간 전,신은 불공평하다 ,%EB%82%B4%EB%85%84%EB%A7%90%EA%B9%8C%EC%A7%80%20%EC%84%9C%EC%9A%B8%20%EC%B5%9C%EB%8C%80%2017%%20%ED%95%98%EB%9D%BD%20... ,잠이솔솔,"ASH ISLAND, 그루비룸 (GroovyRoom) - 잡아줄게 (Prod. GroovyRoom) [잡아줄게]ㅣLyrics/가사",https://www.youtube.com/watch?v=mdUTb41imgA
8,8,조치원 복숭아 맛에 놀란 최주봉 아저씨 ‘조치원 복숭아’편  (feat. MBC 테마기행 길),2시간 전,3-Hour Study With Me [Quiet Study Music 🎵/ Campfire 🔥 / Ocean 🌊] 50/10 Pomodoro ,최주봉 아저씨와 세종의 기네스북 구경하기! ‘정부세종청사 옥상정원’편 (feat. MBC 테마기행 길) ,퍼프상점,미국 엘렌쇼 출연한 천재 비트박서,https://www.youtube.com/watch?v=QX6Oa2I4r7o
9,9,"최주봉 아저씨, 원형 교량은 처음 보죠? ‘금강보행교’편  (feat. MBC 테마기행 길)",2시간 전,4-HOUR STUDY WITH ME🗼 / calm lofi music / 🏕️Cracking Fire / Tokyo at LATE NIGHT / with timer+bell ,The $140BN Plan to Change a Nation with Infrastructure ,롤플레이,수능이 붕괴한다? 벼랑 끝에 선 교육시장,https://www.youtube.com/watch?v=xq4AjbnqZw0
